@relation Data/10_clean

@attribute votes numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful numeric
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
11 , 0 , 0 , 0 , 0 , 1143 , 0 , 2252 , 14 , 1169 , 5706 , 0 , 0 , 1017 , 0 , 0 , 64 , 1 , 0 , 0 , 40 , 0 , 0 , 164 , 439 , 40 , 9732
0 , 0 , 0 , 0 , 0 , 7430 , 0 , 3588 , 36 , 438 , 10731 , 0 , 0 , 1659 , 0 , 0 , 67 , 1 , 0 , 9 , 44 , 0 , 0 , 105 , 333 , 19 , 20804
8 , 0 , 0 , 0 , 0 , 41 , 0 , 1485 , 12 , 250 , 590 , 0 , 0 , 43 , 0 , 0 , 125 , 1 , 0 , 0 , 7 , 0 , 0 , 3 , 38 , 4 , 988
0 , 0 , 0 , 0 , 4 , 86 , 0 , 3250 , 2 , 91 , 981 , 0 , 0 , 116 , 0 , 0 , 295 , 1 , 0 , 8 , 42 , 0 , 0 , 34 , 52 , 17 , 1433
37 , 0 , 0 , 0 , 2 , 2240 , 0 , 2212 , 17 , 340 , 2517 , 0 , 0 , 829 , 1 , 0 , 925 , 1 , 0 , 72 , 97 , 0 , 0 , 185 , 858 , 21 , 7179
30 , 0 , 0 , 0 , 0 , 218 , 0 , 757 , 0 , 169 , 618 , 0 , 0 , 244 , 0 , 0 , 67 , 1 , 0 , 0 , 86 , 0 , 0 , 93 , 83 , 56 , 1567
22 , 0 , 0 , 0 , 1 , 199 , 0 , 1749 , 0 , 330 , 1242 , 0 , 0 , 581 , 0 , 0 , 56 , 1 , 0 , 0 , 6 , 0 , 0 , 53 , 92 , 1 , 2505
21 , 0 , 0 , 10 , 0 , 2648 , 0 , 2453 , 22 , 624 , 2703 , 0 , 0 , 1976 , 0 , 0 , 133 , 1 , 0 , 6 , 137 , 0 , 0 , 195 , 354 , 16 , 8691
0 , 0 , 0 , 1 , 0 , 1471 , 0 , 2452 , 64 , 371 , 2032 , 0 , 0 , 324 , 3 , 0 , 144 , 1 , 0 , 17 , 44 , 0 , 0 , 105 , 210 , 21 , 4663
1 , 0 , 0 , 0 , 0 , 6787 , 0 , 946 , 31 , 2510 , 7619 , 0 , 0 , 3800 , 5 , 0 , 68 , 1 , 0 , 0 , 63 , 0 , 0 , 1025 , 1791 , 40 , 23671
0 , 0 , 0 , 0 , 12 , 397 , 0 , 2409 , 39 , 995 , 4618 , 0 , 0 , 833 , 15 , 0 , 2069 , 1 , 0 , 13 , 241 , 0 , 0 , 136 , 229 , 23 , 7551
0 , 0 , 0 , 0 , 27 , 414 , 0 , 928 , 0 , 782 , 1421 , 0 , 0 , 501 , 0 , 0 , 127 , 1 , 0 , 194 , 49 , 0 , 0 , 220 , 191 , 18 , 3817
2 , 0 , 0 , 0 , 0 , 2038 , 0 , 2431 , 43 , 684 , 4296 , 0 , 0 , 423 , 1 , 0 , 774 , 1 , 0 , 1 , 51 , 0 , 0 , 14 , 66 , 10 , 7627
0 , 1 , 0 , 7 , 3 , 482 , 0 , 2335 , 30 , 349 , 3530 , 0 , 0 , 1002 , 0 , 0 , 246 , 1 , 0 , 1 , 11 , 0 , 0 , 13 , 50 , 0 , 5479
0 , 0 , 0 , 0 , 0 , 1613 , 0 , 1754 , 2 , 0 , 1668 , 0 , 0 , 646 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 171 , 39526 , 0 , 43626
17 , 0 , 0 , 0 , 0 , 285 , 0 , 669 , 0 , 122 , 6232 , 0 , 0 , 391 , 0 , 0 , 503 , 1 , 0 , 43 , 8 , 0 , 0 , 154 , 20 , 0 , 7255
0 , 0 , 0 , 0 , 1 , 6 , 0 , 235 , 2 , 6 , 80 , 0 , 0 , 8 , 0 , 0 , 19 , 0 , 0 , 1 , 7 , 0 , 0 , 0 , 38 , 0 , 149
