@relation ../Data/13/2006

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
2 , 1 , 0 , 0 , 0 , 8 , 1084 , 0 , 702 , 24 , 5608 , 2395 , 0 , 18 , 0 , 1672 , 0 , 0 , 16 , 1 , 2 , 233 , 279 , 0 , 16 , 1070 , 381 , 96 , 12850
52 , 1 , 0 , 0 , 0 , 0 , 615 , 0 , 186 , 2 , 20 , 1144 , 4 , 94 , 0 , 313 , 1 , 2 , 7 , 1 , 11 , 0 , 31 , 0 , 77 , 22 , 329 , 27 , 2504
23 , 2 , 0 , 1 , 0 , 5 , 186 , 0 , 498 , 11 , 217 , 1525 , 10 , 191 , 0 , 535 , 0 , 13 , 65 , 1 , 52 , 5 , 43 , 5 , 110 , 44 , 9 , 21 , 2601
77 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 293 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 22 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
59 , 9 , 0 , 0 , 0 , 0 , 546 , 0 , 252 , 12 , 202 , 989 , 0 , 21 , 0 , 663 , 0 , 0 , 25 , 1 , 3 , 2 , 39 , 0 , 18 , 73 , 170 , 7 , 2703
0 , 1 , 0 , 1 , 1 , 2 , 131 , 0 , 673 , 0 , 42 , 488 , 0 , 161 , 2 , 259 , 0 , 2 , 118 , 1 , 26 , 18 , 1 , 4 , 126 , 11 , 63 , 0 , 1016
0 , 1 , 0 , 0 , 0 , 16 , 130 , 0 , 120 , 1 , 118 , 10290 , 0 , 179 , 0 , 268 , 0 , 8 , 458 , 1 , 23 , 218 , 27 , 1 , 147 , 2 , 126 , 2 , 11198
0 , 3 , 0 , 0 , 0 , 0 , 1185 , 0 , 271 , 0 , 203 , 6071 , 0 , 19 , 0 , 589 , 0 , 2 , 663 , 1 , 3 , 37 , 20 , 0 , 14 , 48 , 20 , 2 , 8175
0 , 1 , 0 , 0 , 1 , 1 , 3464 , 0 , 415 , 3 , 113 , 13521 , 0 , 89 , 0 , 2732 , 0 , 1 , 130 , 1 , 2 , 423 , 30 , 0 , 86 , 5 , 381 , 0 , 20674
0 , 1 , 0 , 0 , 0 , 0 , 31 , 0 , 310 , 0 , 66 , 2609 , 1 , 164 , 0 , 272 , 0 , 13 , 555 , 1 , 46 , 123 , 19 , 3 , 101 , 20 , 2 , 6 , 3148
0 , 1 , 0 , 0 , 1 , 21 , 102 , 0 , 900 , 2 , 110 , 2409 , 0 , 124 , 0 , 172 , 0 , 0 , 518 , 0 , 0 , 94 , 5 , 0 , 124 , 27 , 88 , 17 , 3048
