username,date_of_election,isSuccessful,votes,pages_created,total_edits,article_edits,user_edits,user_talk_edits,file_edits,file_talk_edits,template_edits,template_talk_edits,wikipedia_edits,wikipedia_talk_edits,category_edits,category_talk_edits,draft_edits,draft_talk_edits,talk_edits,gender,days_active,keep_votes,delete_votes,sp_keep_votes,sp_delete_votes,merge_votes,redirect_votes,transwiki_votes,userfy_votes,total_afd_votes,accounts
28bytes,2011-06-07 14:35:00,1,12,162,5532,1624,121,1644,27,0,220,229,1149,329,59,0,0,0,130,male,1637,28,52,1,4,2,6,0,0,93,39
5 albert square,2011-01-31 08:28:00,1,3,18,3090,1500,80,1291,2,0,2,4,132,3,1,0,0,0,75,female,653,4,17,0,0,0,2,0,0,23,10
Acdixon,2011-01-26 18:34:00,1,0,214,2561,994,66,112,2,0,11,12,136,29,0,54,0,0,1145,male,1609,5,7,0,0,0,0,0,0,12,21
Anomie,2011-09-24 12:04:00,1,0,22,10494,2419,1794,1194,71,0,362,622,2395,852,14,0,0,0,771,unknown,2290,3,4,1,0,1,4,0,0,13,82
Bahamut0013,2011-04-10 05:06:00,1,5,197,8393,5640,452,466,44,1,480,242,449,149,76,1,0,0,393,male,1503,37,86,2,1,23,25,1,0,175,56
Boing! said Zebedee,2011-02-22 19:40:00,1,150,37,8044,3900,24,2907,1,0,5,0,735,97,0,0,0,0,375,unknown,1268,30,114,0,11,1,6,0,1,163,55
Catfish Jim and the soapdish,2011-04-27 12:26:00,1,1,139,3586,1943,134,903,0,0,4,0,341,18,0,0,0,0,243,male,1301,24,116,3,10,1,2,0,0,156,28
CharlieEchoTango,2011-11-23 06:37:00,1,2,79,7872,3596,88,2416,80,1,46,23,861,304,4,0,1,0,452,unknown,427,13,47,1,6,0,1,0,0,68,285
DeltaQuad,2011-05-12 02:28:00,1,3,87,6749,1425,420,1799,3,2,46,7,2606,103,10,6,1,0,321,female,1283,3,7,0,0,0,0,0,0,10,35
Drmies,2011-05-20 04:31:00,1,52,807,33357,18872,390,9642,63,2,68,390,2948,33,23,1,0,0,925,unknown,1360,4,53,0,0,3,0,0,0,60,6
ErikHaugen,2011-02-03 02:19:00,1,18,92,1381,500,31,337,0,0,130,20,159,13,0,1,0,0,190,male,2142,17,88,0,0,1,4,0,0,110,11
ErrantX,2011-02-11 13:02:00,1,0,65,1668,866,45,186,5,0,4,2,263,31,1,0,0,0,265,male,1749,11,56,0,0,5,1,0,0,73,25
Feezo,2011-03-19 11:13:00,1,13,64,3650,1710,24,1164,9,0,19,2,463,65,14,3,0,0,177,unknown,2280,22,141,0,11,4,2,1,0,181,22
Fluffernutter,2011-08-12 16:06:00,1,2,58,10767,7651,200,2145,86,4,58,7,304,58,4,0,0,0,250,female,1214,5,31,0,1,3,0,0,0,40,48
GB fan,2011-09-12 01:05:00,1,65,124,25159,16449,121,3439,3,0,19,2,2099,116,5,0,1,0,2905,unknown,1075,4,63,0,1,0,1,0,1,70,68
