username,date_of_election,isSuccessful,votes,pages_created,total_edits,article_edits,user_edits,user_talk_edits,file_edits,file_talk_edits,template_edits,template_talk_edits,wikipedia_edits,wikipedia_talk_edits,category_edits,category_talk_edits,draft_edits,draft_talk_edits,talk_edits,gender,days_active,keep_votes,delete_votes,sp_keep_votes,sp_delete_votes,merge_votes,redirect_votes,transwiki_votes,userfy_votes,total_afd_votes,accounts,featured_articles,featured_lists,elections
Bilby,2013-05-25 00:37:00,1,11,64,9732,5706,439,1143,14,0,40,40,1017,164,0,0,0,0,1169,unknown,2252,83,73,0,0,2,2,0,0,160,67,0,0,1
Darkwind,2012-12-26 20:12:00,1,0,67,20804,10731,333,7430,36,0,44,19,1659,105,9,0,0,0,438,male,3588,1,14,0,3,0,0,0,0,18,37,0,0,1
INeverCry,2013-01-31 08:17:00,1,8,125,988,590,38,41,12,0,7,4,43,3,0,0,0,0,250,unknown,1485,5,28,0,0,0,1,0,0,34,129,0,0,1
Jason Quinn,2013-01-25 03:30:00,1,0,295,1433,981,52,86,2,0,42,17,116,34,8,4,0,0,91,unknown,3250,9,26,0,2,2,3,0,0,42,80,0,0,2
Legoktm,2013-05-02 03:26:00,1,37,925,7179,2517,858,2240,17,1,97,21,829,185,72,2,0,0,340,male,2212,8,46,0,2,2,2,1,0,61,700,0,0,1
Lord Roem,2013-01-20 16:05:00,1,30,67,1567,618,83,218,0,0,86,56,244,93,0,0,0,0,169,male,757,38,50,1,0,6,1,1,0,97,24,0,0,2
Miniapolis,2013-02-05 17:04:00,1,22,56,2505,1242,92,199,0,0,6,1,581,53,0,1,0,0,330,female,1749,25,115,0,0,30,11,0,9,190,18,0,0,1
Mkdw,2013-05-08 18:15:00,1,21,133,8691,2703,354,2648,22,0,137,16,1976,195,6,0,10,0,624,unknown,2453,23,44,1,0,0,4,0,0,72,27,1,0,1
Nthep,2013-03-24 03:24:00,1,0,144,4663,2032,210,1471,64,3,44,21,324,105,17,0,1,0,371,male,2452,15,89,1,2,7,4,0,0,118,51,0,0,1
Ocaasi,2012-12-30 01:29:00,1,1,68,23671,7619,1791,6787,31,5,63,40,3800,1025,0,0,0,0,2510,unknown,946,1,5,0,0,2,0,0,0,8,56,0,0,1
Paulmcdonald,2013-04-30 22:43:00,1,0,2069,7551,4618,229,397,39,15,241,23,833,136,13,12,0,0,995,male,2409,91,97,1,0,3,1,0,0,193,15,0,0,1
RockMagnetist,2013-03-09 17:56:00,1,0,127,3817,1421,191,414,0,0,49,18,501,220,194,27,0,0,782,unknown,928,30,16,0,1,6,2,0,0,55,64,0,0,1
Shirt58,2013-03-06 11:45:00,1,2,774,7627,4296,66,2038,43,1,51,10,423,14,1,0,0,0,684,unknown,2431,11,158,0,0,0,0,0,0,169,85,0,0,1
Tokyogirl79,2013-03-11 08:48:00,1,0,246,5479,3530,50,482,30,0,11,0,1002,13,1,3,7,1,349,unknown,2335,20,71,0,0,4,14,0,0,109,16,0,0,1
West.andrew.g,2013-02-20 18:26:00,1,0,0,43626,1668,39526,1613,2,0,0,0,646,171,0,0,0,0,0,male,1754,0,0,0,0,0,0,0,0,0,33,0,0,1
Ymblanter,2013-03-15 08:04:00,1,17,503,7255,6232,20,285,0,0,8,0,391,154,43,0,0,0,122,unknown,669,5,11,1,0,1,1,0,0,19,144,0,0,1
angelo1345,2013-04-09 12:35:00,0,0,19,149,80,38,6,2,0,7,0,8,0,1,1,0,0,6,unknown,235,0,0,0,0,0,0,0,0,0,19,0,0,1
AppleJack-7,2013-06-03 02:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,18,0,0,1
Banaticus,2013-02-21 01:25:00,0,1,193,3615,1547,184,1337,8,0,37,22,245,42,5,0,1,0,187,male,2838,2,8,0,0,2,0,0,0,12,75,0,0,1
Binksternet,2013-03-13 04:09:00,0,12,1156,28478,16643,546,6055,105,4,138,159,1263,242,5,2,0,0,3316,male,2056,62,122,1,0,4,4,0,0,193,85,4,0,1
Carrite,2013-02-06 17:10:00,0,80,1354,7710,5544,258,327,115,1,3,0,1100,89,0,0,0,0,273,male,1502,62,97,4,1,4,10,0,0,178,41,0,0,1
DCI2026,2013-02-23 02:17:00,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,89,0,0,0,0,0,0,0,0,0,31,1,0,1
Dirtlawyer1,2013-02-05 01:28:00,0,8,281,8834,7314,0,504,15,3,402,123,178,148,9,0,0,0,138,male,1389,31,113,0,1,15,15,0,1,176,30,0,0,1
Hahc21,2013-02-10 23:44:00,0,3,93,3263,668,452,797,24,2,176,10,763,185,0,0,0,0,186,male,1779,2,5,0,0,0,0,0,0,7,688,3,9,2
Jasper Deng,2013-03-08 01:29:00,0,30,80,7435,2322,391,2716,1,0,14,9,990,138,23,0,0,0,831,unknown,1764,7,73,0,2,7,0,0,0,89,695,0,0,1
KumiokoCleanStart,2013-05-15 08:13:00,0,7,12,14803,487,25,511,0,181,48,355,1316,354,8,2618,0,0,8900,male,51,2,15,0,0,1,0,0,0,18,15,0,0,1
Piotrus,2013-04-24 20:10:00,0,31,9828,50318,27794,1496,5009,219,11,514,700,3262,1711,519,35,0,0,9048,male,3302,10,168,0,1,9,0,0,1,189,77,26,0,2
Pjoef,2013-04-29 14:33:00,0,0,137,19479,10744,1253,860,84,40,166,24,3593,74,31,9,0,0,2601,male,2236,12,0,0,0,0,0,0,0,12,124,0,0,1
Satellizer,2013-02-23 20:59:00,0,0,129,2754,1564,62,864,14,7,33,0,130,24,1,5,0,0,50,male,797,23,72,2,2,5,3,0,2,109,11,0,0,1
Theopolisme,2013-02-23 16:00:00,0,4,309,2794,1316,236,399,0,0,42,1,669,67,11,5,0,0,48,male,717,0,2,0,0,0,0,0,0,2,290,0,0,2
TortoiseWrath,2013-03-07 04:12:00,0,0,6,273,150,33,20,0,0,1,0,27,1,0,0,0,0,41,male,191,1,4,0,0,0,0,0,0,5,59,0,0,1
Vacation9,2013-02-28 18:55:00,0,18,23,3819,1630,246,1335,11,0,14,3,403,40,0,0,0,0,137,male,805,13,78,0,0,9,1,0,0,101,688,0,0,1
Bagumba,2012-08-20 21:29:00,1,2,444,10260,5992,244,1355,10,19,305,66,821,481,18,2,0,0,947,unknown,1417,33,98,0,0,16,9,0,3,159,29,0,0,1
Bbb23,2012-07-13 23:22:00,1,4,6,19548,12167,70,2403,1,0,5,38,2984,140,2,0,0,0,1738,male,1266,3,40,0,0,0,0,0,0,43,6,0,0,1
Berean Hunter,2012-07-20 20:23:00,1,6,23,20266,9748,725,6131,10,0,62,25,1365,163,5,1,0,0,2031,male,1677,8,27,1,0,1,1,0,0,38,22,0,0,1
Bgwhite,2012-11-19 11:29:00,1,6,60,199695,86157,2181,4175,86,6,48,35,1901,217,31,184,4,3,104667,unknown,2750,14,164,2,1,5,2,0,0,188,48,1,6,1
Crisco 1492,2012-05-27 10:50:00,1,1,760,16900,6059,548,2460,188,0,2709,482,2789,248,20,1,0,0,1396,male,2495,9,16,0,0,0,0,0,0,25,63,0,0,1
De728631,2012-07-26 22:56:00,1,0,291,14746,8393,112,3596,61,10,225,89,1254,130,39,15,0,0,822,unknown,1832,30,95,5,9,9,8,0,0,156,3,0,0,1
Dpmuk,2012-02-13 05:48:00,1,2,79,2144,608,59,628,0,2,24,2,289,76,5,2,0,0,449,unknown,1639,41,56,0,4,7,8,0,0,116,38,0,0,1
Ekabhishek,2012-08-09 07:48:00,1,0,926,68525,59937,3957,537,340,0,230,39,132,51,1893,9,0,0,1400,male,1994,36,1,1,0,1,1,0,0,40,43,0,0,1
Fayenatic london,2012-02-11 19:59:00,1,1,1235,6871,4683,88,708,16,0,57,15,327,49,479,76,0,0,373,male,2065,36,65,0,1,10,7,2,0,121,77,0,0,1
GiantSnowman,2012-01-28 15:46:00,1,0,5493,5078,3156,37,480,0,0,142,43,645,235,17,23,0,0,300,male,2161,32,152,0,0,4,5,0,0,193,54,0,0,2
