@relation ../Data/18_edits_alt

@attribute revert_edits numeric
@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute featured_lists numeric
@attribute draft_edits numeric
@attribute featured_articles numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute hasCategoryActivity {1, 0}
@attribute minor_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute hasFeaturedContent {1, 0}
@attribute merge_votes numeric
@attribute hasMultipleAccounts {1, 0}
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute nonminor_edits numeric
@attribute elections numeric
@attribute delete_votes numeric
@attribute images_uploaded numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric
@attribute large_edits numeric


@data
512 , 11 , 67 , 0 , 0 , 0 , 0 , 0 , 0 , 1143 , 0 , 4408 , 0 , 2252 , 14 , 1169 , 5706 , 2 , 160 , 0 , 1017 , 0 , 0 , 2 , 1 , 64 , 1 , 83 , 0 , 40 , 0 , 16037 , 1 , 73 , 13 , 164 , 439 , 40 , 9732 , 5345
391 , 0 , 37 , 0 , 0 , 0 , 0 , 0 , 0 , 7430 , 1 , 10940 , 0 , 3588 , 36 , 438 , 10731 , 0 , 18 , 0 , 1659 , 0 , 0 , 0 , 1 , 67 , 1 , 1 , 9 , 44 , 3 , 9674 , 1 , 14 , 0 , 105 , 333 , 19 , 20804 , 6325
21 , 8 , 129 , 0 , 0 , 0 , 0 , 0 , 0 , 41 , 0 , 5519 , 0 , 1485 , 12 , 250 , 590 , 1 , 34 , 0 , 43 , 0 , 0 , 0 , 1 , 125 , 1 , 5 , 0 , 7 , 0 , 28309 , 1 , 28 , 110 , 3 , 38 , 4 , 988 , 1252
154 , 0 , 80 , 0 , 0 , 0 , 0 , 0 , 4 , 86 , 1 , 5066 , 0 , 3250 , 2 , 91 , 981 , 3 , 42 , 0 , 116 , 0 , 0 , 2 , 1 , 295 , 1 , 9 , 8 , 42 , 2 , 13633 , 2 , 26 , 0 , 34 , 52 , 17 , 1433 , 1091
457 , 37 , 700 , 0 , 0 , 0 , 0 , 0 , 2 , 2240 , 1 , 6180 , 0 , 2212 , 17 , 340 , 2517 , 2 , 61 , 1 , 829 , 1 , 0 , 2 , 1 , 925 , 1 , 8 , 72 , 97 , 2 , 13847 , 1 , 46 , 3 , 185 , 858 , 21 , 7179 , 4006
234 , 30 , 24 , 0 , 1 , 0 , 0 , 0 , 0 , 218 , 0 , 1197 , 0 , 757 , 0 , 169 , 618 , 1 , 97 , 1 , 244 , 0 , 0 , 6 , 1 , 67 , 1 , 38 , 0 , 86 , 0 , 5615 , 2 , 50 , 1 , 93 , 83 , 56 , 1567 , 1248
9 , 22 , 18 , 0 , 0 , 0 , 0 , 0 , 1 , 199 , 1 , 8201 , 9 , 1749 , 0 , 330 , 1242 , 11 , 190 , 0 , 581 , 0 , 0 , 30 , 1 , 56 , 1 , 25 , 0 , 6 , 0 , 3873 , 1 , 115 , 0 , 53 , 92 , 1 , 2505 , 563
953 , 21 , 27 , 0 , 1 , 1 , 10 , 0 , 0 , 2648 , 1 , 2505 , 0 , 2453 , 22 , 624 , 2703 , 4 , 72 , 0 , 1976 , 0 , 1 , 0 , 1 , 133 , 1 , 23 , 6 , 137 , 0 , 12648 , 1 , 44 , 10 , 195 , 354 , 16 , 8691 , 3831
1089 , 0 , 51 , 0 , 1 , 0 , 1 , 0 , 0 , 1471 , 1 , 3222 , 0 , 2452 , 64 , 371 , 2032 , 4 , 118 , 0 , 324 , 3 , 0 , 7 , 1 , 144 , 1 , 15 , 17 , 44 , 2 , 14469 , 1 , 89 , 5 , 105 , 210 , 21 , 4663 , 4598
1096 , 1 , 56 , 0 , 0 , 0 , 0 , 0 , 0 , 6787 , 0 , 5347 , 0 , 946 , 31 , 2510 , 7619 , 0 , 8 , 0 , 3800 , 5 , 0 , 2 , 1 , 68 , 1 , 1 , 0 , 63 , 0 , 18316 , 1 , 5 , 9 , 1025 , 1791 , 40 , 23671 , 5727
188 , 0 , 15 , 0 , 1 , 0 , 0 , 0 , 12 , 397 , 1 , 5517 , 0 , 2409 , 39 , 995 , 4618 , 1 , 193 , 0 , 833 , 15 , 0 , 3 , 1 , 2069 , 1 , 91 , 13 , 241 , 0 , 24553 , 1 , 97 , 69 , 136 , 229 , 23 , 7551 , 4804
487 , 0 , 64 , 0 , 0 , 0 , 0 , 0 , 27 , 414 , 1 , 1832 , 0 , 928 , 0 , 782 , 1421 , 2 , 55 , 0 , 501 , 0 , 0 , 6 , 1 , 127 , 1 , 30 , 194 , 49 , 1 , 14760 , 1 , 16 , 2 , 220 , 191 , 18 , 3817 , 2548
728 , 2 , 85 , 0 , 0 , 0 , 0 , 0 , 0 , 2038 , 1 , 12977 , 0 , 2431 , 43 , 684 , 4296 , 0 , 169 , 0 , 423 , 1 , 0 , 0 , 1 , 774 , 1 , 11 , 1 , 51 , 0 , 16580 , 1 , 158 , 40 , 14 , 66 , 10 , 7627 , 4743
42 , 0 , 16 , 1 , 0 , 0 , 7 , 0 , 3 , 482 , 1 , 1484 , 0 , 2335 , 30 , 349 , 3530 , 14 , 109 , 0 , 1002 , 0 , 0 , 4 , 1 , 246 , 1 , 20 , 1 , 11 , 0 , 13799 , 1 , 71 , 59 , 13 , 50 , 0 , 5479 , 4905
5001 , 0 , 33 , 0 , 0 , 0 , 0 , 0 , 0 , 1613 , 0 , 6130 , 0 , 1754 , 2 , 0 , 1668 , 0 , 0 , 0 , 646 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 199666 , 1 , 0 , 3 , 171 , 39526 , 0 , 43626 , 13763
298 , 17 , 144 , 0 , 1 , 0 , 0 , 0 , 0 , 285 , 1 , 6511 , 0 , 669 , 0 , 122 , 6232 , 1 , 19 , 0 , 391 , 0 , 0 , 1 , 1 , 503 , 1 , 5 , 43 , 8 , 0 , 20356 , 1 , 11 , 0 , 154 , 20 , 0 , 7255 , 2982
3 , 0 , 19 , 0 , 0 , 0 , 0 , 0 , 1 , 6 , 1 , 14 , 0 , 235 , 2 , 6 , 80 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 1 , 19 , 0 , 0 , 1 , 7 , 0 , 292 , 1 , 0 , 3 , 0 , 38 , 0 , 149 , 41
0 , 0 , 18 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0
