username,date_of_election,isSuccessful,votes,edit_count,year_joined
BDD,2013-04-19 23:13:00,1,0,79201,2004
Bilby,2013-05-25 00:37:00,1,0,26666,2006
Darkwind,2012-12-26 20:12:00,1,0,38832,2003
INeverCry,2013-01-31 08:17:00,1,0,52822,2009
Jason Quinn,2013-01-25 03:30:00,1,0,32371,2004
Legoktm,2013-05-02 03:26:00,1,0,28165,2007
Lord Roem,2013-01-20 16:05:00,1,0,8031,2010
Miniapolis,2013-02-05 17:04:00,1,0,30430,2007
Mkdw,2013-05-08 18:15:00,1,0,24485,2006
Nthep,2013-03-24 03:24:00,1,0,44076,2006
Ocaasi,2012-12-30 01:29:00,1,0,35572,2010
Paulmcdonald,2013-04-30 22:43:00,1,0,34910,2006
RockMagnetist,2013-03-09 17:56:00,1,0,27611,2010
Shirt58,2013-03-06 11:45:00,1,0,48005,2006
Tokyogirl79,2013-03-11 08:48:00,1,0,61598,2006
West.andrew.g,2013-02-20 18:26:00,1,0,211473,2008
Ymblanter,2013-03-15 08:04:00,1,0,66631,2011
angelo1345,2013-04-09 12:35:00,0,0,426,2012
AppleJack-7,2013-06-03 02:57:00,0,0,0,2013
Banaticus,2013-02-21 01:25:00,0,0,9448,2005
Binksternet,2013-03-13 04:09:00,0,0,168711,2007
Carrite,2013-02-06 17:10:00,0,0,62042,2008
DCI2026,2013-02-23 02:17:00,0,0,1,2013
Dirtlawyer1,2013-02-05 01:28:00,0,0,85726,2009
Hahc21,2013-02-10 23:44:00,0,0,31116,2008
Jasper Deng,2013-03-08 01:29:00,0,0,29466,2008
KumiokoCleanStart,2013-05-15 08:13:00,0,0,35532,2013
Piotrus,2013-04-24 20:10:00,0,0,179388,2004
Pjoef,2013-04-29 14:33:00,0,0,52613,2007
Satellizer,2013-02-23 20:59:00,0,0,27936,2010
Theopolisme,2013-02-23 16:00:00,0,0,32587,2011
TortoiseWrath,2013-03-07 04:12:00,0,0,1815,2012
Vacation9,2013-02-28 18:55:00,0,0,11419,2010
Bagumba,2012-08-20 21:29:00,1,0,46747,2008
Bbb23,2012-07-13 23:22:00,1,0,90398,2008
Berean Hunter,2012-07-20 20:23:00,1,0,44323,2007
Bgwhite,2012-11-19 11:29:00,1,0,450047,2005
Crisco 1492,2012-05-27 10:50:00,1,0,116774,2005
De728631,2012-07-26 22:56:00,1,0,50302,2007
Dpmuk,2012-02-13 05:48:00,1,0,10123,2007
Ekabhishek,2012-08-09 07:48:00,1,0,155339,2006
Fayenatic london,2012-02-11 19:59:00,1,0,104775,2006
GiantSnowman,2012-01-28 15:46:00,1,0,191332,2006
Harrias,2012-11-27 06:19:00,1,0,30325,2005
ItsZippy,2012-04-03 15:45:00,1,0,13921,2009
Jenks24,2012-05-21 22:11:00,1,0,65980,2010
KTC,2012-12-19 19:25:00,1,0,19959,2004
Mark Arsten,2012-07-23 23:30:00,1,0,126450,2011
MikeLynch,2012-01-14 13:32:00,1,0,16151,2006
Monty845,2012-11-20 21:03:00,1,0,29431,2007
Mr. Stradivarius,2012-07-31 11:29:00,1,0,53856,2007
SarahStierch,2012-07-21 00:25:00,1,0,21,2014
Scottywong,2012-03-23 00:01:00,1,0,18202,2007
Sergecross73,2012-11-15 02:18:00,1,0,38343,2008
TommyBoy,2012-11-11 23:12:00,1,0,36450,2004
Writ Keeper,2012-10-19 23:13:00,1,0,18237,2011
Yngvadottir,2012-04-01 17:58:00,1,0,31931,2008
Yunshui,2012-07-23 08:06:00,1,0,44679,2009
Zagalejo,2012-06-26 01:24:00,1,0,84677,2005
Σ,2012-10-02 01:42:00,0,0,45962,2009
987li,2012-04-24 08:57:00,0,0,640,2011
Anbu121,2012-12-23 14:29:00,0,0,17354,2011
Apteva,2012-11-30 06:27:00,0,0,12263,2008
AutomaticStrikeout,2012-10-15 03:26:00,0,0,27236,2012
Avicennasis,2012-05-21 06:44:00,0,0,91755,2006
Baseballrocks538,2012-03-06 23:15:00,0,0,213,2010
Bens dream,2012-03-10 23:34:00,0,0,129,2008
Calabe1992,2012-04-25 22:06:00,0,0,28921,2011
Central Data Bank,2012-04-08 14:55:00,0,0,4175,2007
Dannyboy1209,2012-05-14 19:04:00,0,0,541,2009
Darkness Shines,2012-12-30 21:22:00,0,0,28190,2011
Deathlibrarian,2015-11-30 20:51:05.251239,0,0,4277,2005
Dipankan001,2012-05-17 16:58:00,0,0,5856,2011
Distributor108,2012-04-16 13:27:00,0,0,553,2011
Farrtj,2012-10-18 00:21:00,0,0,25325,2006
Faustus37,2012-04-24 11:49:00,0,0,7448,2005
Figureskatingfan,2012-02-13 20:59:00,0,0,26854,2007
Floydian,2012-08-15 18:18:00,0,0,29955,2003
GabeMc,2012-04-27 07:01:00,0,0,41831,2009
Gigs,2012-10-16 22:06:00,0,0,15400,2005
GSorby,2012-02-06 05:02:00,0,0,8112,2010
Hahc21,2012-07-07 22:49:00,0,0,31116,2008
Hghyux,2012-04-20 18:14:00,0,0,5841,2012
James1011R,2012-03-22 18:54:00,0,0,911,2009
Jeff G.,2012-02-09 22:26:00,0,0,94711,2006
JordanKyser22,2012-03-25 17:48:00,0,0,1792,2012
Kamek98,2012-03-22 19:24:00,0,0,4037,2010
Karthikndr,2012-12-12 11:18:00,0,0,19529,2010
Ktr101,2012-12-22 08:21:00,0,0,94762,2007
Kumioko,2012-08-09 02:12:00,0,0,76062,2012
Lord Roem,2012-06-09 21:14:00,0,0,8031,2010
LuK3,2012-12-01 02:25:00,0,0,25314,2008
Mabdul,2012-03-26 03:24:00,0,0,32332,2008
Mapalazoo,2012-10-31 21:40:00,0,0,30,2012
Marcus Qwertyus,2012-06-17 22:47:00,0,0,0,2014
Master&Expert,2012-08-01 00:15:00,0,0,0,2012
Mlpearc,2012-08-04 18:45:00,0,0,40237,2008
MONGO,2012-11-21 00:38:00,0,0,65138,2005
Mr little irish,2012-04-30 15:43:00,0,0,1092,2010
My76Strat,2012-06-26 10:49:00,0,0,10,2013
Northamerica1000,2012-11-06 23:47:00,0,0,349231,2011
Penyulap,2012-07-24 17:28:00,0,0,8256,2011
PerryThePlatypusFan,2012-08-10 22:11:00,0,0,966,2010
Pol430,2012-03-04 21:46:00,0,0,0,2013
PumpkinSky,2012-10-22 22:47:00,0,0,20535,2011
Purplebackpack89,2012-03-15 00:30:00,0,0,22368,2008
QuiteUnusual,2012-10-17 12:20:00,0,0,26648,2006
Raghusri,2012-10-24 13:39:00,0,0,16515,2012
Rcsprinter123,2012-08-31 10:57:00,0,0,60251,2010
ronjohn,2012-03-27 03:47:00,0,0,1025,2007
Ryan Vesey,2012-06-30 08:54:00,0,0,25912,2011
Sk8terguy27,2012-12-22 20:34:00,0,0,875,2012
SpeakFree,2012-01-01 04:49:00,0,0,6,2012
Sven Manguard,2012-01-05 12:22:00,0,0,46501,2010
Swinquest,2012-04-19 14:38:00,0,0,2577,2006
SwisterTwister,2012-06-25 22:03:00,0,0,72677,2008
The Determinator,2012-06-15 18:30:00,0,0,2893,2011
TheAustinMan,2012-03-05 07:30:00,0,0,6941,2009
Theopolisme,2012-08-11 07:36:00,0,0,32587,2011
TucsonDavid,2012-03-12 08:06:00,0,0,2338,2010
Vibhijain,2012-05-19 10:14:00,0,0,16386,2011
