username,date_of_election,isSuccessful,votes,edit_count,year_joined,pages_created
BDD,2013-04-19 23:13:00,1,0,79201,2004,715
Bilby,2013-05-25 00:37:00,1,0,26666,2006,64
Darkwind,2012-12-26 20:12:00,1,0,38832,2003,67
INeverCry,2013-01-31 08:17:00,1,0,52822,2009,125
Jason Quinn,2013-01-25 03:30:00,1,0,32371,2004,295
Legoktm,2013-05-02 03:26:00,1,0,28165,2007,925
Lord Roem,2013-01-20 16:05:00,1,0,8031,2010,67
Miniapolis,2013-02-05 17:04:00,1,0,30430,2007,56
Mkdw,2013-05-08 18:15:00,1,0,24485,2006,133
Nthep,2013-03-24 03:24:00,1,0,44076,2006,144
Ocaasi,2012-12-30 01:29:00,1,0,35572,2010,68
Paulmcdonald,2013-04-30 22:43:00,1,0,34910,2006,2069
RockMagnetist,2013-03-09 17:56:00,1,0,27611,2010,127
Shirt58,2013-03-06 11:45:00,1,0,48005,2006,774
Tokyogirl79,2013-03-11 08:48:00,1,0,61598,2006,246
West.andrew.g,2013-02-20 18:26:00,1,0,211473,2008,0
Ymblanter,2013-03-15 08:04:00,1,0,66631,2011,503
angelo1345,2013-04-09 12:35:00,0,0,426,2012,19
AppleJack-7,2013-06-03 02:57:00,0,0,0,2013,0
Banaticus,2013-02-21 01:25:00,0,0,9448,2005,193
Binksternet,2013-03-13 04:09:00,0,0,168711,2007,1156
Carrite,2013-02-06 17:10:00,0,0,62042,2008,1354
DCI2026,2013-02-23 02:17:00,0,0,1,2013,0
Dirtlawyer1,2013-02-05 01:28:00,0,0,85726,2009,281
Hahc21,2013-02-10 23:44:00,0,0,31116,2008,93
Jasper Deng,2013-03-08 01:29:00,0,0,29466,2008,80
KumiokoCleanStart,2013-05-15 08:13:00,0,0,35532,2013,12
Piotrus,2013-04-24 20:10:00,0,0,179388,2004,9828
Pjoef,2013-04-29 14:33:00,0,0,52613,2007,137
Satellizer,2013-02-23 20:59:00,0,0,27936,2010,129
Theopolisme,2013-02-23 16:00:00,0,0,32587,2011,309
TortoiseWrath,2013-03-07 04:12:00,0,0,1815,2012,6
Vacation9,2013-02-28 18:55:00,0,0,11419,2010,23
Bagumba,2012-08-20 21:29:00,1,0,46747,2008,444
Bbb23,2012-07-13 23:22:00,1,0,90398,2008,6
Berean Hunter,2012-07-20 20:23:00,1,0,44323,2007,23
Bgwhite,2012-11-19 11:29:00,1,0,450047,2005,60
Crisco 1492,2012-05-27 10:50:00,1,0,116774,2005,760
De728631,2012-07-26 22:56:00,1,0,50302,2007,291
Dpmuk,2012-02-13 05:48:00,1,0,10123,2007,79
Ekabhishek,2012-08-09 07:48:00,1,0,155339,2006,926
Fayenatic london,2012-02-11 19:59:00,1,0,104775,2006,1235
GiantSnowman,2012-01-28 15:46:00,1,0,191332,2006,5493
Harrias,2012-11-27 06:19:00,1,0,30325,2005,513
ItsZippy,2012-04-03 15:45:00,1,0,13921,2009,20
Jenks24,2012-05-21 22:11:00,1,0,65980,2010,934
KTC,2012-12-19 19:25:00,1,0,19959,2004,600
Mark Arsten,2012-07-23 23:30:00,1,0,126450,2011,61
MikeLynch,2012-01-14 13:32:00,1,0,16151,2006,147
Monty845,2012-11-20 21:03:00,1,0,29431,2007,124
Mr. Stradivarius,2012-07-31 11:29:00,1,0,53856,2007,288
Scottywong,2012-03-23 00:01:00,1,0,18202,2007,87
Sergecross73,2012-11-15 02:18:00,1,0,38343,2008,41
TommyBoy,2012-11-11 23:12:00,1,0,36450,2004,342
Writ Keeper,2012-10-19 23:13:00,1,0,18237,2011,15
Yngvadottir,2012-04-01 17:58:00,1,0,31931,2008,272
Yunshui,2012-07-23 08:06:00,1,0,44679,2009,106
Zagalejo,2012-06-26 01:24:00,1,0,84677,2005,1318
Σ,2012-10-02 01:42:00,0,0,45962,2009,362
987li,2012-04-24 08:57:00,0,0,640,2011,81
Anbu121,2012-12-23 14:29:00,0,0,17354,2011,54
Apteva,2012-11-30 06:27:00,0,0,12263,2008,194
AutomaticStrikeout,2012-10-15 03:26:00,0,0,27236,2012,24
Avicennasis,2012-05-21 06:44:00,0,0,91755,2006,2299
Baseballrocks538,2012-03-06 23:15:00,0,0,213,2010,2
Bens dream,2012-03-10 23:34:00,0,0,129,2008,0
Calabe1992,2012-04-25 22:06:00,0,0,28921,2011,10
Central Data Bank,2012-04-08 14:55:00,0,0,4175,2007,399
Dannyboy1209,2012-05-14 19:04:00,0,0,541,2009,6
Darkness Shines,2012-12-30 21:22:00,0,0,28190,2011,93
Dipankan001,2012-05-17 16:58:00,0,0,5856,2011,45
Distributor108,2012-04-16 13:27:00,0,0,553,2011,1
Farrtj,2012-10-18 00:21:00,0,0,25325,2006,26
Faustus37,2012-04-24 11:49:00,0,0,7448,2005,337
Figureskatingfan,2012-02-13 20:59:00,0,0,26854,2007,26
Floydian,2012-08-15 18:18:00,0,0,29955,2003,904
GabeMc,2012-04-27 07:01:00,0,0,41831,2009,2
Gigs,2012-10-16 22:06:00,0,0,15400,2005,45
GSorby,2012-02-06 05:02:00,0,0,8112,2010,25
Hahc21,2012-07-07 22:49:00,0,0,31116,2008,66
Hghyux,2012-04-20 18:14:00,0,0,5841,2012,1
James1011R,2012-03-22 18:54:00,0,0,911,2009,4
Jeff G.,2012-02-09 22:26:00,0,0,94711,2006,158
JordanKyser22,2012-03-25 17:48:00,0,0,1792,2012,1
