@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14-17,21-26,29-30,32-34,36-41'

@attribute sp_keep_votes numeric
@attribute userfy_votes numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute isSuccessful {1,0}
@attribute keep_votes numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric

@data
0,0,2,160,0,1,83,0,73
0,0,0,18,0,1,1,3,14
0,0,1,34,0,1,5,0,28
0,0,3,42,0,1,9,2,26
0,0,2,61,1,1,8,2,46
1,0,1,97,1,1,38,0,50
0,9,11,190,0,1,25,0,115
1,0,4,72,0,1,23,0,44
1,0,4,118,0,1,15,2,89
0,0,0,8,0,1,1,0,5
1,0,1,193,0,1,91,0,97
0,0,2,55,0,1,30,1,16
0,0,0,169,0,1,11,0,158
0,0,14,109,0,1,20,0,71
0,0,0,0,0,1,0,0,0
1,0,1,19,0,1,5,0,11
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,12,0,0,2,0,8
1,0,4,193,0,0,62,0,122
4,0,10,178,0,0,62,1,97
0,0,0,0,0,0,0,0,0
0,1,15,176,0,0,31,1,113
0,0,0,7,0,0,2,0,5
0,0,0,89,0,0,7,2,73
0,0,0,18,0,0,2,0,15
0,1,0,189,0,0,10,1,168
0,0,0,12,0,0,12,0,0
2,2,3,109,0,0,23,2,72
0,0,0,2,0,0,0,0,2
0,0,0,5,0,0,1,0,4
0,0,1,101,0,0,13,0,78
0,3,9,159,0,1,33,0,98
0,0,0,43,0,1,3,0,40
1,0,1,38,0,1,8,0,27
2,0,2,188,0,1,14,1,164
0,0,0,25,0,1,9,0,16
5,0,8,156,0,1,30,9,95
0,0,8,116,0,1,41,4,56
1,0,1,40,0,1,36,0,1
0,0,7,121,2,1,36,1,65
0,0,5,193,0,1,32,0,152
0,0,1,48,0,1,13,0,31
0,0,0,19,0,1,1,0,18
0,0,6,11,0,1,4,0,1
0,0,2,19,0,1,9,0,8
0,0,0,1,0,1,0,0,1
0,0,1,38,0,1,14,0,21
1,0,3,67,0,1,21,0,39
0,1,2,63,1,1,9,0,45
0,0,1,8,0,1,1,0,5
1,0,6,181,0,1,46,3,119
0,0,1,21,0,1,5,0,13
0,0,1,55,0,1,1,3,50
1,0,3,175,0,1,113,1,54
0,1,1,70,0,1,12,1,53
1,0,2,138,0,1,113,0,20
0,0,0,0,0,0,0,0,0
2,0,4,166,0,0,42,1,113
0,0,0,4,0,0,3,0,1
0,1,2,50,0,0,14,0,33
0,0,0,14,0,0,2,0,12
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,30,0,0,2,0,28
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,2,107,0,0,23,0,80
1,0,0,35,0,0,9,2,23
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,5,77,0,0,41,0,23
0,0,0,7,0,0,3,0,4
1,0,11,90,0,0,17,3,48
0,0,0,13,0,0,6,0,7
0,0,2,185,0,0,29,0,147
0,0,0,0,0,0,0,0,0
0,0,0,7,0,0,2,0,5
0,0,0,21,0,0,4,1,16
0,0,0,9,0,0,1,1,7
0,0,0,83,0,0,0,0,83
0,0,0,1,0,0,1,0,0
0,0,0,2,0,0,1,0,1
0,0,12,65,0,0,26,0,25
0,0,0,128,0,0,87,0,38
0,0,1,36,0,0,11,0,23
