@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R2-11,13-26,28-32,34-40'

@attribute revert_edits numeric
@attribute minor_edits numeric
@attribute isSuccessful {1,0}
@attribute nonminor_edits numeric
@attribute large_edits numeric

@data
512,4408,1,16037,5345
391,10940,1,9674,6325
21,5519,1,28309,1252
154,5066,1,13633,1091
457,6180,1,13847,4006
234,1197,1,5615,1248
9,8201,1,3873,563
953,2505,1,12648,3831
1089,3222,1,14469,4598
1096,5347,1,18316,5727
188,5517,1,24553,4804
487,1832,1,14760,2548
728,12977,1,16580,4743
42,1484,1,13799,4905
5001,6130,1,199666,13763
298,6511,1,20356,2982
3,14,0,292,41
0,0,0,0,0
190,2723,0,5658,2323
13038,17411,0,74260,21790
54,3094,0,35408,5940
0,0,0,0,0
1206,3834,0,50714,4762
130,2169,0,9036,1854
1278,4507,0,7743,2132
22,457,0,2325,426
504,22686,0,122843,27933
71,2264,0,39970,8439
308,2676,0,5810,2460
823,7553,0,15008,6283
19,40,0,211,37
1,2775,0,93,18
1003,2314,1,11419,3221
6489,5441,1,25188,4878
4598,8149,1,10518,2930
427,39572,1,162688,4552
241,2549,1,32282,7236
852,5219,1,7192,3187
407,739,1,5651,2068
81,6497,1,96116,3191
771,19155,1,18012,3423
1813,20572,1,45334,7542
265,4557,1,14782,3470
164,2576,1,5488,2904
1236,11143,1,27179,3511
241,2169,1,10456,2679
742,13759,1,13673,6262
616,4173,1,8824,3656
826,6538,1,6534,3427
693,5287,1,13194,6219
319,882,1,10228,4206
2775,804,1,15234,2154
399,3006,1,19410,470
114,1511,1,2958,1460
983,2004,1,6873,2058
321,3311,1,4538,2074
6148,8037,1,53759,4955
9,2,0,493,41
950,4405,0,11930,4335
126,499,0,5503,1363
226,4630,0,6648,936
294,53044,0,4423,1579
0,0,0,157,3
0,0,0,17,5
136,10805,0,622,323
4,205,0,3085,539
6,2,0,194,8
129,828,0,2068,623
138,574,0,3283,962
22,0,0,434,82
73,2082,0,10794,479
27,807,0,4526,796
341,2741,0,12405,3102
964,4385,0,19624,5154
62,1400,0,5818,631
234,912,0,8343,1611
688,2313,0,4267,797
125,1002,0,8779,1800
60,129,0,1276,601
9,87,0,463,80
1689,26556,0,32411,17993
4,78,0,31,10
5,12,0,210,23
957,2183,0,15385,1694
282,20164,0,41162,7680
67,19516,0,56831,1694
205,883,0,3874,886
587,5527,0,2278,808
576,3207,0,11427,2474
3,1,0,25,3
0,0,0,0,0
0,0,0,4,1
1100,8245,0,8699,2174
845,5257,0,47273,7284
24,328,0,540,172
0,0,0,0,0
548,5259,0,84401,6024
77,387,0,4918,1893
4,9,0,221,20
0,0,0,0,0
42,277,0,1370,490
12,133,0,1297,287
310,1754,0,4804,2219
94,551,0,1089,353
86,1523,0,7445,2651
11,2,0,98,29
1,16,0,165,32
122,3118,1,904,273
1671,12884,1,18680,9581
1239,1193,1,12059,2845
1048,1819,1,12580,3006
1620,4686,1,15638,3690
4283,7377,1,21105,8119
306,816,1,9984,2693
299,1570,1,6669,2428
95,4257,1,5994,3286
3534,13201,1,33466,10973
151,640,1,4388,980
644,988,1,8684,2216
22,2990,1,890,137
1737,5688,1,3846,1050
7955,9897,1,25396,5496
515,5895,1,14115,5944
8,3,1,991,13
692,2810,1,8356,3224
247,864,1,6358,1384
642,11343,1,22924,6997
337,8241,1,34002,14113
16,62420,1,6621,3011
246,5273,1,3520,1952
694,1435,1,36227,3079
54,1260,1,727,301
127,4138,1,6065,1363
351,2606,1,4134,2467
59,2043,1,31214,9689
773,934,1,8643,2941
309,7668,1,2985,683
2869,5577,1,18759,8076
292,1949,1,2369,974
498,12966,1,15983,8759
286,10053,1,30983,4669
77,798,1,3066,485
202,1696,1,4341,1521
157,29630,1,31469,2491
343,7024,1,9337,6075
1699,4669,1,25949,4627
187,6870,1,10536,5549
81,3263,1,2870,544
177,2170,1,7474,2480
278,1038,1,9885,4700
390,4944,1,16163,2801
142,13629,1,9683,2209
