@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1,3-7,9-13,15-18,20-25,28-31,33-35,37-39,41'

@attribute accounts numeric
@attribute votes numeric
@attribute days_active numeric
@attribute total_afd_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1,0}
@attribute edits_per_day numeric
@attribute images_uploaded numeric
@attribute total_edits numeric

@data
67,11,2252,160,64,1,4.3,13,9732
37,0,3588,18,67,1,5.7,0,20804
129,8,1485,34,125,1,0.6,110,988
80,0,3250,42,295,1,0.4,0,1433
700,37,2212,61,925,1,3.2,3,7179
24,30,757,97,67,1,2,1,1567
18,22,1749,190,56,1,1.4,0,2505
27,21,2453,72,133,1,3.5,10,8691
51,0,2452,118,144,1,1.9,5,4663
56,1,946,8,68,1,25,9,23671
15,0,2409,193,2069,1,3.1,69,7551
64,0,928,55,127,1,4.1,2,3817
85,2,2431,169,774,1,3.1,40,7627
16,0,2335,109,246,1,2.3,59,5479
33,0,1754,0,0,1,24,3,43626
144,17,669,19,503,1,10,0,7255
19,0,235,0,19,0,0.6,3,149
18,0,0,0,0,0,0,0,0
75,1,2838,12,193,0,1.2,12,3615
85,12,2056,193,1156,0,13,164,28478
41,80,1502,178,1354,0,5.1,336,7710
31,17,89,0,0,0,0,0,0
30,8,1389,176,281,0,6.3,14,8834
688,3,1779,7,93,0,1.8,83,3263
695,30,1764,89,80,0,4.2,0,7435
15,7,51,18,12,0,290,0,14803
77,31,3302,189,9828,0,15,70,50318
124,0,2236,12,137,0,8.7,5,19479
11,0,797,109,129,0,3.4,37,2754
290,4,717,2,309,0,3.8,10,2794
59,0,191,5,6,0,1.4,0,273
688,18,805,101,23,0,4.7,5,3819
29,2,1417,159,444,1,7.2,6,10260
6,4,1266,43,6,1,15,0,19548
22,6,1677,38,23,1,12,4,20266
48,6,2750,188,60,1,72,0,199695
63,1,2495,25,760,1,6.7,181,16900
3,0,1832,156,291,1,8,10,14746
38,2,1639,116,79,1,1.3,0,2144
43,0,1994,40,926,1,34,158,68525
77,1,2065,121,1235,1,3.3,14,6871
54,0,2161,193,5493,1,2.3,1,5078
41,2,2531,48,513,1,7.1,16,18131
42,7,954,19,20,1,2.8,0,2700
50,20,774,11,934,1,25,12,19764
118,48,2931,19,600,1,4.4,4,13030
41,16,364,1,61,1,65,5,23713
630,7,1577,38,147,1,3.2,13,5083
31,58,2070,67,124,1,10,0,22316
65,16,1865,63,288,1,7,0,13098
4,8,1834,8,87,1,1.2,9,2344
10,2,1435,181,41,1,10,0,14896
1,0,2925,21,342,1,7.2,0,21146
34,2,387,55,15,1,19,0,7381
89,0,1370,175,272,1,2.9,0,3991
31,6,1072,70,106,1,9.8,1,10509
198,12,2540,138,1318,1,13,11,33352
29,0,242,0,81,0,1.6,0,404
48,6,381,166,54,0,42,3,16349
83,2,1647,4,194,0,3.6,0,6031
20,16,175,50,24,0,71,0,12513
691,6,2111,14,2299,0,14,2,31492
11,0,620,0,2,0,0,0,24
1,0,1263,0,0,0,0,0,50
31,0,380,30,10,0,24,4,9215
1,0,1618,0,399,0,0.8,28,1354
6,0,894,0,6,0,0.2,0,249
18,3,543,107,93,0,19,3,10637
37,8,277,35,45,0,8.8,6,2440
10,0,237,0,1,0,1.3,0,327
3,0,2335,0,26,0,5,14,11801
2,1,2555,77,337,0,0.8,50,2129
17,0,1837,7,26,0,1.5,8,2868
28,0,3291,90,904,0,4.7,158,15593
16,0,864,13,2,0,3.6,0,3161
38,42,2579,185,45,0,3.4,8,8839
19,0,751,0,25,0,2,210,1562
24,3,1561,7,66,0,7,56,11079
16,1,85,21,1,0,38,0,3307
18,0,1135,9,4,0,0.2,0,243
652,14,1877,83,158,0,2.5,12,4874
11,0,37,1,1,0,3.4,1,126
14,0,453,2,6,0,0.6,0,293
76,1,904,65,144,0,19,26,17676
63,0,1902,128,2067,0,32,31,61186
14,0,1894,36,10,0,27,4,52954
19,30,532,97,55,0,8,1,4274
19,11,1639,39,22,0,10,4,16399
128,17,1473,74,262,0,4.9,43,7290
1,0,39,0,0,0,0.7,0,29
101,1,0,0,0,0,0,0,0
29,251,0,0,0,0,3,0,3
72,78,1114,21,11,0,14,13,16379
9,44,2865,183,938,0,16,10,48563
3,11,706,1,1,0,0.5,0,367
35,6,850,0,0,0,0,0,0
41,0,518,5,327,0,158,1,82127
90,0,510,5,88,0,12,2,6291
17,0,706,0,2,0,0.3,0,224
31,24,0,0,0,0,0,0,0
2,1,306,21,19,0,5.5,0,1687
23,0,1006,10,14,0,0.3,0,352
30,4,521,2,198,0,16,3,8471
16,1,508,14,6,0,1.7,0,886
546,10,439,153,112,0,4.3,2,1906
31,0,9,0,0,0,11,0,102
7,0,36,3,6,0,6.5,5,234
39,12,1637,93,162,1,3.3,20,5532
10,3,653,23,18,1,4.7,1,3090
21,0,1609,12,214,1,1.5,19,2561
82,0,2290,13,22,1,4.5,19,10494
56,5,1503,175,197,1,5.5,30,8393
55,150,1268,163,37,1,6.3,0,8044
28,1,1301,156,139,1,2.7,12,3586
285,2,427,68,79,1,18,18,7872
35,3,1283,10,87,1,5.2,0,6749
6,52,1360,60,807,1,24,75,33357
11,18,2142,110,92,1,0.6,0,1381
25,0,1749,73,65,1,0.9,9,1668
22,13,2280,181,64,1,1.6,1,3650
48,2,1214,40,58,1,8.8,2,10767
68,65,1075,70,124,1,23,0,25159
42,22,381,11,177,1,22,0,8488
10,2,1663,5,0,1,0,0,0
