@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-8,11-14,18-20,23-26,28,31-36,41-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1,9'

@attribute user_talk_edits numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute isSuccessful {1,0}
@attribute template_edits numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric

@data
1143,14,1169,5706,1017,0,1,40,164,439,40
7430,36,438,10731,1659,0,1,44,105,333,19
41,12,250,590,43,0,1,7,3,38,4
86,2,91,981,116,0,1,42,34,52,17
2240,17,340,2517,829,1,1,97,185,858,21
218,0,169,618,244,0,1,86,93,83,56
199,0,330,1242,581,0,1,6,53,92,1
2648,22,624,2703,1976,0,1,137,195,354,16
1471,64,371,2032,324,3,1,44,105,210,21
6787,31,2510,7619,3800,5,1,63,1025,1791,40
397,39,995,4618,833,15,1,241,136,229,23
414,0,782,1421,501,0,1,49,220,191,18
2038,43,684,4296,423,1,1,51,14,66,10
482,30,349,3530,1002,0,1,11,13,50,0
1613,2,0,1668,646,0,1,0,171,39526,0
285,0,122,6232,391,0,1,8,154,20,0
6,2,6,80,8,0,0,7,0,38,0
0,0,0,0,0,0,0,0,0,0,0
1337,8,187,1547,245,0,0,37,42,184,22
6055,105,3316,16643,1263,4,0,138,242,546,159
327,115,273,5544,1100,1,0,3,89,258,0
0,0,0,0,0,0,0,0,0,0,0
504,15,138,7314,178,3,0,402,148,0,123
797,24,186,668,763,2,0,176,185,452,10
2716,1,831,2322,990,0,0,14,138,391,9
511,0,8900,487,1316,181,0,48,354,25,355
5009,219,9048,27794,3262,11,0,514,1711,1496,700
860,84,2601,10744,3593,40,0,166,74,1253,24
864,14,50,1564,130,7,0,33,24,62,0
399,0,48,1316,669,0,0,42,67,236,1
20,0,41,150,27,0,0,1,1,33,0
