Grenavitar,2005-10-20 01:54:00,1,2,533,8342,5767,276,610,48,4,77,112,609,19,71,9,0,0,740,unknown,328,60,72,1,0,8,7,1,0,149,1
Grm wnr,2005-06-11 20:48:00,1,0,66,5994,4950,108,62,22,0,54,2,511,107,161,2,1,0,14,unknown,379,0,2,0,0,0,0,0,0,2,1
Ground Zero,2005-08-13 18:45:00,1,0,37,4912,3711,118,373,0,0,29,35,293,23,1,3,0,0,326,unknown,128,111,50,0,3,12,2,0,0,178,1
Grue,2005-06-14 19:30:00,1,8,51,1247,276,55,73,0,0,0,7,762,21,0,0,0,0,53,unknown,291,119,46,1,0,7,1,0,0,174,1
GTBacchus,2005-12-14 05:39:00,1,0,138,6060,4858,88,167,1,0,9,0,604,69,16,0,0,0,248,male,1076,13,36,1,1,2,0,0,0,53,1
Guettarda,2005-06-13 15:56:00,1,15,189,4544,2656,462,502,4,0,6,1,352,66,67,0,0,0,428,unknown,292,80,78,3,5,8,3,0,0,177,1
Gurubrahma,2005-11-29 16:46:00,1,11,80,3148,2193,64,388,1,0,15,36,135,43,9,7,0,0,257,unknown,214,7,7,0,0,0,1,0,3,18,1
Gyrofrog,2005-09-26 20:13:00,1,0,67,2867,1759,63,315,22,0,18,6,285,8,13,0,0,0,378,unknown,541,23,72,1,3,2,6,1,0,108,1
Hamster Sandwich,2005-11-26 09:29:00,1,37,22,1504,326,116,331,0,0,0,0,665,12,0,0,0,0,54,unknown,135,19,155,0,4,8,7,0,0,193,1
Harro5,2005-11-20 03:51:00,1,0,95,4695,2923,26,405,8,0,47,23,943,48,20,0,0,0,252,unknown,252,18,135,0,9,6,2,0,0,170,1
Hashar,2005-07-13 19:35:00,1,0,11,686,629,11,12,0,0,0,0,19,1,10,1,0,0,3,unknown,780,0,1,0,0,0,0,0,0,1,1
Henrygb,2005-04-01 02:11:00,1,0,551,2673,2063,16,123,1,1,6,4,220,23,25,4,0,0,187,unknown,505,10,69,0,3,1,4,0,0,87,1
Hermione1980,2005-10-11 11:56:00,1,5,10,978,407,3,155,0,0,1,0,287,25,0,0,0,0,100,unknown,199,14,27,0,1,3,1,0,0,46,1
HorsePunchKid,2005-11-25 03:31:00,1,0,41,2892,1899,120,154,2,0,10,3,380,34,4,0,0,0,286,unknown,579,10,56,0,4,4,4,0,0,78,1
Howcheng,2005-12-18 19:06:00,1,17,262,7666,4548,118,268,4,0,17,1,2227,42,103,0,0,0,338,male,172,8,35,1,6,5,6,0,0,61,1
Humblefool,2005-07-26 06:35:00,1,3,29,1220,494,6,82,0,0,1,0,576,34,0,0,0,0,27,unknown,402,18,116,0,0,10,8,1,0,153,1
Ianblair23,2005-11-10 00:58:00,1,5,350,10108,8085,666,187,19,0,76,0,454,19,37,4,0,0,561,male,343,4,0,0,0,0,0,0,0,4,1
Ianbrown,2005-12-12 02:52:00,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,747,0,0,0,0,0,0,0,0,0,0
Icairns,2005-01-27 22:22:00,1,0,265,761,716,0,9,5,0,1,0,12,0,13,0,0,0,5,male,271,9,7,1,2,0,0,0,0,19,1
IceKarma,2005-09-18 01:43:00,1,0,14,1693,1150,137,82,1,0,26,8,229,2,3,1,0,0,54,female,792,0,5,0,0,1,0,1,0,7,1
Improv,2005-02-12 22:44:00,1,13,4,284,144,35,16,0,0,0,0,46,20,0,0,0,0,23,unknown,108,19,145,0,0,12,5,2,0,183,1
Inter,2005-03-24 16:02:00,1,2,717,3138,1520,124,291,5,0,18,2,533,10,1,0,0,0,634,male,165,8,165,0,5,3,1,0,0,182,1
