username,date_of_election,isSuccessful,votes,edit_count,year_joined
Ktr101,2010-05-31 22:03:00,0,0,94762,2007
MZMcBride,2010-08-24 08:25:00,0,0,178583,2005
Al Ameer son,2009-03-17 16:18:00,1,0,43865,2007
Fram,2007-02-19 09:07:00,1,0,169519,2005
Gilliam,2007-01-29 18:29:00,1,0,275975,2005
Graham87,2007-08-07 06:45:00,1,0,130922,2005
Iridescent,2007-09-13 19:34:00,1,0,193005,2006
Keith D,2007-12-04 19:34:00,1,0,218196,2006
Meno25,2007-03-30 20:05:00,1,0,119692,2006
MZMcBride,2007-05-06 04:15:00,1,0,178583,2005
Nehrams2020,2007-09-16 23:00:00,1,0,82497,2006
Nyttend,2007-11-01 04:00:00,1,0,244071,2006
Wizardman,2007-01-22 02:22:00,1,0,238167,2006
Zzuuzz,2007-02-10 21:44:00,1,0,91583,2005
Betacommand,2007-09-06 20:20:00,0,0,86927,2005
MER-C,2007-02-03 11:31:00,0,0,186392,2006
TenPoundHammer,2007-05-21 02:42:00,0,0,218352,2005
TonyTheTiger,2007-04-14 19:18:00,0,0,350636,2006
BrownHairedGirl,2006-05-07 20:46:00,1,0,416824,2006
Edgar181,2006-07-11 03:41:00,1,0,141282,2005
NawlinWiki,2006-08-18 22:10:00,1,0,219725,2005
Ohnoitsjamie,2006-01-21 02:07:00,1,0,153813,2005
Vegaswikian,2006-01-21 11:47:00,1,0,270510,2005
Alan Liefting,2006-06-20 02:41:00,0,0,134249,2004
Anthony Appleyard,2006-12-19 12:03:00,0,0,137196,2004
MER-C,2006-10-19 11:19:00,0,0,186392,2006
BD2412,2005-11-30 00:39:00,1,0,711075,2005
Brian Kendig,2005-10-01 03:52:00,1,0,6173,2004
Briangotts,2005-08-06 20:57:00,1,0,14431,2005
CambridgeBayWeather,2005-10-16 11:10:00,1,0,183763,2004
Darwinek,2005-08-07 01:10:00,1,0,135029,2004
DragonflySixtyseven,2005-10-02 16:21:00,1,0,52307,2004
Kwamikagami,2005-09-28 20:34:00,1,0,373669,2004
Rich Farmbrough,2005-02-01 17:09:00,1,0,1035657,2004
Slambo,2005-03-23 22:04:00,1,0,145691,2004
Timrollpickering,2005-02-18 16:00:00,1,0,132808,2004
Wikiacc,2005-10-10 23:28:00,1,0,5180,2004
Wikibofh,2005-10-07 21:08:00,1,0,10399,2005
Wilfried Derksen,2005-04-13 17:56:00,1,0,20321,2004
Wwoods,2005-04-06 10:15:00,1,0,45858,2004
Xezbeth,2005-04-11 22:25:00,1,0,152291,2004
Darwinek,2005-02-21 00:34:00,0,0,135029,2004
Charles Matthews,2004-02-09 18:13:00,1,0,298580,2004
Anetode,2006-05-24 01:44:00,1,0,26855,2005
Armbrust,2010-09-26 02:39:00,0,0,254226,2008
Tide rolls,2010-05-12 22:52:00,1,0,211682,2008
Favonian,2010-07-19 15:40:00,1,0,173539,2008
Excirial,2010-04-09 14:31:00,1,0,182244,2007
Anetode,2006-05-24 01:44:00,1,0,26855,2005
AzaToth,2006-04-05 14:58:00,1,0,22922,2004
Chochopk,2006-10-01 17:31:00,1,0,24481,2005
Danny,2004-01-24 17:33:00,1,0,41414,2002
Neelix,2011-02-24 20:40:00,1,0,169002,2006
Rzrscm,2015-11-30 20:51:05.993740,0,0,1246,2006
Tassedethe,2009-04-02 14:06:00,1,0,616927,2008
Accdude92,2015-11-30 20:51:06.417024,0,0,1927,2008
AgentB1,2015-11-30 20:51:06.418511,0,0,47,2009
Audi152,2015-11-30 20:51:06.423936,0,0,324,2009
chase-mvp,2015-11-30 20:51:06.452789,0,0,12,2009
DAFMM,2015-11-30 20:51:06.466116,0,0,4567,2008
DaL33T,2015-11-30 20:51:06.466343,0,0,3011,2008
Einsteinbud,2015-11-30 20:51:06.474148,0,0,574,2009
Facha93,2015-11-30 20:51:06.488150,0,0,569,2008
I Seek To Help & Repair!,2009-06-08 23:14:00,0,0,7,2009
Jfk52917,2015-11-30 20:51:06.540350,0,0,234,2008
Koman90,2015-11-30 20:51:06.547998,0,0,12239,2008
kylekieran,2015-11-30 20:51:06.559984,0,0,6821,2009
Lionelisbest,2015-11-30 20:51:06.562209,0,0,66,2009
Llampadari,2015-11-30 20:51:06.562220,0,0,112,2009
Mohammad adil,2015-11-30 20:51:06.580725,0,0,6082,2006
Mrmewe,2015-11-30 20:51:06.582948,0,0,537,2005
VTomi,2015-11-30 20:51:06.690125,0,0,148,2009
Wetman88,2015-11-30 20:51:06.693216,0,0,186,2009
Wikifan798,2015-11-30 20:51:06.694676,0,0,114,2009
Gazimoff,2015-11-30 20:51:06.862585,1,0,5217,2008
Arienh4,2015-11-30 20:51:07.263096,0,0,1,2011
Biruitorul,2008-03-06 22:42:00,0,0,120786,2006
Ecoleetage,2015-11-30 20:51:07.340405,0,0,15020,2005
Hennessey, Patrick,2015-11-30 20:51:07.402974,0,0,2338
Iamawesome800,2015-11-30 20:51:07.407655,0,0,0,2009
nassir49,2015-11-30 20:51:07.510868,0,0,84,2006
Prashanthns,2015-11-30 20:51:07.531719,0,0,17128,2005
Ro098,2015-11-30 20:51:07.546596,0,0,177,2008
Shapiros10,2015-11-30 20:51:07.557855,0,0,15,2009
UserD\xc5\x93,2015-11-30 20:51:07.630766,0,0,1193,2008
Delldot,2015-11-30 20:51:07.863489,1,0,44759,2005
Eleassar,2015-11-30 20:51:07.904078,1,0,77219,2005
Ikiroid,2015-11-30 20:51:08.012442,1,0,6781,2005
Mikeblas,2015-11-30 20:51:08.144775,1,0,30876,2005
PeaceNT,2015-11-30 20:51:08.219404,1,0,14025,2006
Rebelguys2,2015-11-30 20:51:08.256205,1,0,11,2007
Richardshusr,2015-11-30 20:51:08.274461,1,0,6,2010
Walton One,2015-11-30 20:51:08.429753,1,0,9577,2006
Abela2006,2015-11-30 20:51:08.475020,0,0,25,2006
Averross,2015-11-30 20:51:08.495162,0,0,445,2006
AzaToth,2015-11-30 20:51:08.495724,0,0,22922,2004
Hiddenhearts,2015-11-30 20:51:08.662471,0,0,584,2006
Jetstar888,2015-11-30 20:51:08.678785,0,0,69,2006
Mehrshad123,2015-11-30 20:51:08.734172,0,0,655,2005
Nenyedi,2015-11-30 20:51:08.760211,0,0,2850,2006
Nimrauko,2015-11-30 20:51:08.765550,0,0,113,2005
owie123,2015-11-30 20:51:08.770772,0,0,98,2006
Wandalstouring,2015-11-30 20:51:08.921566,0,0,14383,2006
wavelab1,2015-11-30 20:51:08.924278,0,0,5,2007
Wisdom89,2015-11-30 20:51:08.945555,0,0,31599,2004
Aecis,2015-11-30 20:51:08.963704,1,0,36712,2004
Aude,2015-11-30 20:51:09.012940,1,0,39568,2004
CBDunkerson,2015-11-30 20:51:09.079930,1,0,14940,2003
Consumed Crustacean,2015-11-30 20:51:09.107858,1,0,9294,-
Dsmdgold,2015-11-30 20:51:09.167875,1,0,11868,2004
Husnock,2015-11-30 20:51:09.286478,1,0,12977,2004
JLaTondre,2015-11-30 20:51:09.318714,1,0,43138,2005
Kilo-Lima,2015-11-30 20:51:09.358978,1,0,10579,2005
Peruvianllama,2015-11-30 20:51:09.520513,1,0,13499,2004
Quarl,2015-11-30 20:51:09.561151,1,0,31392,2004
Sarge Baldy,2015-11-30 20:51:09.625729,1,0,2,2008
Sir Nicholas de Mimsy-Porpington,2015-11-30 20:51:09.644616,1,-,-,-
Stifle,2015-11-30 20:51:09.668626,1,0,74546,2005
Viridae,2015-11-30 20:51:09.730321,1,0,13774,2006
WAvegetarian,2015-11-30 20:51:09.738168,1,0,7389,2005
Wwwwolf,2015-11-30 20:51:09.762647,1,0,7005,2004
AMK152,2015-11-30 20:51:09.819787,0,0,25078,2005
Andy5190,2015-11-30 20:51:09.820607,0,0,357,2006
Biruitorul,2006-11-27 19:22:00,0,0,66417,2005
Bottesini,2015-11-30 20:51:09.857561,0,0,4009,2006
Caldorwards4,2015-11-30 20:51:09.863532,0,0,45326,2005
CrnaGora,2015-11-30 20:51:09.908451,0,0,8770,2005
Foxearth,2015-11-30 20:51:09.982034,0,0,1131,2005
Genisock2,2015-11-30 20:51:09.993973,0,0,7165,2006
