username,date_of_election,isSuccessful,votes,edit_count,year_joined
Ktr101,2012-12-22 08:21:00,0,0,94762,2007
MZMcBride,2010-08-24 08:25:00,0,0,178583,2005
Al Ameer son,2009-03-17 16:18:00,1,0,43865,2007
Fram,2007-02-19 09:07:00,1,0,169519,2005
Gilliam,2007-01-29 18:29:00,1,0,275975,2005
Graham87,2007-08-07 06:45:00,1,0,130922,2005
Iridescent,2007-09-13 19:34:00,1,0,193005,2006
Keith D,2007-12-04 19:34:00,1,0,218196,2006
Meno25,2007-03-30 20:05:00,1,0,119692,2006
MZMcBride,2010-08-24 08:25:00,1,0,178583,2005
Nehrams2020,2007-09-16 23:00:00,1,0,82497,2006
Nyttend,2007-11-01 04:00:00,1,0,244071,2006
Wizardman,2007-01-22 02:22:00,1,0,238167,2006
Zzuuzz,2007-02-10 21:44:00,1,0,91583,2005
Betacommand,2007-09-06 20:20:00,0,0,86927,2005
MER-C,2007-02-03 11:31:00,0,0,186392,2006
TenPoundHammer,2009-09-02 17:21:00,0,0,218352,2005
TonyTheTiger,2007-04-14 19:18:00,0,0,350636,2006
BrownHairedGirl,2006-05-07 20:46:00,1,0,416824,2006
Edgar181,2006-07-11 03:41:00,1,0,141282,2005
NawlinWiki,2006-08-18 22:10:00,1,0,219725,2005
Ohnoitsjamie,2006-01-21 02:07:00,1,0,153813,2005
Vegaswikian,2006-01-21 11:47:00,1,0,270510,2005
Alan Liefting,2006-06-20 02:41:00,0,0,134249,2004
Anthony Appleyard,2007-04-11 16:54:00,0,0,137196,2004
MER-C,2007-02-03 11:31:00,0,0,186392,2006
BD2412,2005-11-30 00:39:00,1,0,711075,2005
Brian Kendig,2005-10-01 03:52:00,1,0,6173,2004
Briangotts,2005-08-06 20:57:00,1,0,14431,2005
CambridgeBayWeather,2005-10-16 11:10:00,1,0,183763,2004
Darwinek,2005-08-07 01:10:00,1,0,135029,2004
DragonflySixtyseven,2005-10-02 16:21:00,1,0,52307,2004
Kwamikagami,2005-09-28 20:34:00,1,0,373669,2004
Rich Farmbrough,2005-02-01 17:09:00,1,0,1035657,2004
Slambo,2005-03-23 22:04:00,1,0,145691,2004
